mapping_id,mapping_status,user_topic_id,user_topic_label,developer_topic_id,developer_topic_label,lag_months,spearman_rho,p_value_permutation,n_observations,p_value_fdr_bh_all_tests
M010,matched,16,Input Methods,3,Input Methods,-4,0.18770669404589502,0.08591408591408592,105,0.745535456279258
M010,matched,16,Input Methods,3,Input Methods,-3,-0.06282748893569523,0.6023976023976024,106,0.9958396034345403
M010,matched,16,Input Methods,3,Input Methods,-2,0.05799770759262958,0.6223776223776224,107,0.9958396034345403
M010,matched,16,Input Methods,3,Input Methods,-1,-0.039376155224646395,0.7282717282717283,108,0.9995729461378317
M010,matched,16,Input Methods,3,Input Methods,0,0.06887539973104775,0.5264735264735265,109,0.9958396034345403
M010,matched,16,Input Methods,3,Input Methods,1,-0.020531239900583833,0.8381618381618382,108,1.0
M010,matched,16,Input Methods,3,Input Methods,2,-0.00905234490128205,0.968031968031968,107,1.0
M010,matched,16,Input Methods,3,Input Methods,3,-0.12051391878251656,0.24175824175824176,106,0.9615384615384616
M010,matched,16,Input Methods,3,Input Methods,4,0.13772225408582234,0.17582417582417584,105,0.8978675645342312
M010,matched,16,Input Methods,3,Input Methods,5,-0.04460922919124549,0.7352647352647352,104,0.9995729461378317
M010,matched,16,Input Methods,3,Input Methods,6,-0.0064691862542221685,0.964035964035964,103,1.0
M010,matched,16,Input Methods,3,Input Methods,7,-0.0476982148567707,0.7192807192807192,102,0.9995729461378317
M010,matched,16,Input Methods,3,Input Methods,8,0.13025802340226034,0.2037962037962038,101,0.8978675645342312
M010,matched,16,Input Methods,3,Input Methods,9,-0.05769323102082777,0.6663336663336663,100,0.9958396034345403
M010,matched,16,Input Methods,3,Input Methods,10,-0.07091347654108998,0.5534465534465535,99,0.9958396034345403
M010,matched,16,Input Methods,3,Input Methods,11,0.022985354454744616,0.8691308691308691,98,1.0
M010,matched,16,Input Methods,3,Input Methods,12,0.033402154116627024,0.7272727272727273,97,0.9995729461378317
M011,matched,16,Input Methods,36,Controller,-12,0.18363402061855671,0.11188811188811189,97,0.800161377084454
M011,matched,16,Input Methods,36,Controller,-11,-0.05112560488112771,0.6483516483516484,98,0.9958396034345403
